2023-05-13 06:39:05 , udn , 勞退新制上路18年，願意參加自提人數終於破百萬了，參加自提人數比率達13.5%，表示每月從薪資中提撥一定比率金額當做退休老本的勞工已有上百萬人；另一方面，卻也意味另有近87%、640萬人並未參加自提。
為何到現在仍有640萬人不敢或不願參加自提？專家說，他們擔心的事極可能似是而非，錯過制度設計可享的好處。 , https://udn.com/news/story/121591/7162215?from=udn-ch1_breaknews-1-0-news
2023-05-13 06:50:52 , udn , 明天鋒面到「不如第一波」 吳德榮：各地局部短暫雨 , https://udn.com/news/story/7266/7162307?from=udn-ch1_breaknews-1-0-news
2023-05-13 06:51:03 , udn , 今晨局部地區零星降雨。中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，今天華南鋒前中層雲移入，各... , https://udn.com/news/story/7266/7162307?from=udn-ch1_breaknews-1-0-news
2023-05-13 06:51:23 , udn , 美宣布副國務薛曼6月退休 替補人選備受關注 , https://udn.com/news/story/6809/7162308?from=udn-ch1_breaknews-1-0-news
2023-05-13 06:51:34 , udn , 美國國務院12日宣布，副國務卿薛曼（Wendy Sherman）將在下月30日退休；薛曼主責對中國大陸的外交事務，替補人... , https://udn.com/news/story/6809/7162308?from=udn-ch1_breaknews-1-0-news
2023-05-13 06:56:31 , udn , 元大銀行去年阻詐1.9億元 打詐成效績優獲閣揆表揚 , https://udn.com/news/story/7239/7162209?from=udn-ch1_breaknews-1-0-news
2023-05-13 07:18:14 , udn , 文字學大師許學仁傳出病逝 享壽71歲 , https://udn.com/news/story/6885/7162314?from=udn-ch1_breaknews-1-0-news
2023-05-13 07:18:24 , udn , 文字學大師、國立東華大學中國語文學系教授許學仁，昨晚傳出辭世消息，享壽71歲。他的友人紛紛哀悼，「語文界巨擘殞落」。 , https://udn.com/news/story/6885/7162314?from=udn-ch1_breaknews-1-0-news
2023-05-13 07:27:13 , udn , 美中台博弈／是備戰還是引戰？美不斷軍援台灣 早腐蝕一中政策 , https://udn.com/news/story/6809/7161309?from=udn-ch1_breaknews-1-0-news
2023-05-13 07:27:24 , udn , 美中現在互不往來，是美國急，中國不急，要恢復互訪的前提條件，大陸要求美國必須重申一個中國政策，而美國也照做，過去10天以來，無論是亞太助卿康達在國會作證時，或是國務卿布林肯接受華盛頓郵報訪談，甚至8日駐北京大使伯恩斯與大陸外交部長秦剛見面時，都在大陸的要求下，重申了美國遵守一個中國政策。 , https://udn.com/news/story/6809/7161309?from=udn-ch1_breaknews-1-0-news
2023-05-13 07:30:14 , udn , 何時解除旱象 氣象局：全島顯著降雨還要再等等 , https://udn.com/news/story/7266/7162321?from=udn-ch1_breaknews-1-0-news
2023-05-13 07:30:24 , udn , 中央氣象局發布月長期天氣展望（5月13日至6月9日），「報氣候 - 中央氣象局」臉書粉專表示，西南季風進入南海，季風環流... , https://udn.com/news/story/7266/7162321?from=udn-ch1_breaknews-1-0-news
2023-05-13 07:53:12 , udn , 史上首次！從台北當代到夜藝博 四種藝博會同時進攻台北 , https://udn.com/news/story/7270/7162268?from=udn-ch1_breaknews-1-0-news
2023-05-13 07:56:53 , udn , 告別航空傳奇陳文寬 當年創辦復興航空是為反共任務 , https://udn.com/news/story/7241/7161747?from=udn-ch1_breaknews-1-0-news
