2023-02-13 05:33:19 , udn , 美空軍在密西根休倫湖空域 再射下一不明飛行物 , https://udn.com/news/story/123298/6967361?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:33:19 , udn , 據CNN報導，美國空軍周日下午再於密西根休倫湖附近空域射下一不明飛行物。 , https://udn.com/news/story/123298/6967361?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:51:20 , udn , 缺藥缺蛋缺資安奢談韌性國家 只見不下台的韌性官員 , https://udn.com/news/story/6656/6967342?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:51:20 , udn , 近期國人去巷口的藥局買藥或領藥，可能要多跑很多家才能如願，包括去年開始就持續缺貨的退燒藥與制酸劑，到近期供應緊張的第一線抗生素安蒙西林，這些都不是小眾藥品，而是不少國人的日常用藥。缺的不只是藥，還有去年迄今供應缺口一直很大的雞蛋，蛋價今天調漲後，官員預估這一波蛋荒至少要到下個月才能緩解。 , https://udn.com/news/story/6656/6967342?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:51:20 , udn , 疫情死亡居高不下 年後罕見3多 背後藏隱形殺手 , https://udn.com/news/story/7314/6967325?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:51:21 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看年後罕見出現「確診死亡、急診滿床與冰櫃滿櫃」三多現象，究竟為什麼？ , https://udn.com/news/story/7314/6967325?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:51:21 , udn , 影／青春痘竟與食道潰瘍有關 醫師神診斷「看臉就知」 , https://udn.com/news/story/7266/6967364?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:51:21 , udn , 21歲小帥哥因為胸口痛，以為自己是胃食道逆流就醫，但醫師認為疼痛的部位不太像，以福爾摩斯探案精神，發現病患臉上有青春痘，... , https://udn.com/news/story/7266/6967364?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:54:20 , udn , 【總編開箱】缺藥缺蛋缺資安奢談韌性國家 只見不下台的韌性官員 , https://udn.com/news/story/6656/6967342?from=udn-ch1_breaknews-1-0-news
2023-02-13 06:03:21 , udn , 柏林地方選舉德執政黨重挫 二戰後在首都最糟選情 , https://udn.com/news/story/6809/6967360?from=udn-ch1_breaknews-1-0-news
2023-02-13 06:03:21 , udn , 德國總理蕭茲的社會民主黨今天在柏林地方選舉中遭遇重挫，為20幾年來首度在首都的選舉得票落在在野的保守派之後 , https://udn.com/news/story/6809/6967360?from=udn-ch1_breaknews-1-0-news
2023-02-13 06:06:22 , udn , 賽普勒斯總統決選 前外長得票52% 對手認敗 , https://udn.com/news/story/6809/6967346?from=udn-ch1_breaknews-1-0-news
2023-02-13 06:12:20 , udn , 九合一挫敗成最後一根稻草 時力行動時代辦公室驚傳熄燈 , https://udn.com/news/story/6656/6967338?from=udn-ch1_breaknews-1-0-news
2023-02-13 06:12:20 , udn , 九合一地方選舉去年底落幕，時代力量在全國僅獲得6席議員席次，時代力量決策委員邱顯智、王婉諭等人隨即請辭，呼籲時代力量應該痛定思痛，全面改選決策委員會，如今卻傳出由邱顯智、王婉諭等人組成的「行動時代」辦公室已經悄然熄燈。 , https://udn.com/news/story/6656/6967338?from=udn-ch1_breaknews-1-0-news
2023-02-13 06:39:20 , udn , 影／廂型車清晨失控撞電線桿橋墩護欄 2人送醫急救 , https://udn.com/news/story/7320/6967384?from=udn-ch1_breaknews-1-0-news
2023-02-13 06:39:20 , udn , 一輛廂型車今天清晨5時許，行經台東市松江路一、二段路口時，突失控撞北上路旁電線桿及橋墩護欄，廂型車卡路旁水溝上、車頭變形... , https://udn.com/news/story/7320/6967384?from=udn-ch1_breaknews-1-0-news
2023-02-13 07:03:20 , udn , 經典賽／不會滿足於6.5億日元年薪 山本由伸準備擦亮招牌 , https://udn.com/news/story/122629/6966991?from=udn-ch1_breaknews-1-0-news
2023-02-13 07:03:20 , udn , 山本由伸經過去年賽季之後更加奠定了他在日本職棒NO.1頂級投手的地位。去年球季他豪取15勝5敗，防禦率1.68、206次奪三振，勝率高達0.750，延續了2021年賽季的18勝5敗、防禦率1.39、2 , https://udn.com/news/story/122629/6966991?from=udn-ch1_breaknews-1-0-news
2023-02-13 07:03:20 , udn , 經典賽／2021年中職選秀六星 扮演中華隊關鍵要角 , https://udn.com/news/story/122629/6966868?from=udn-ch1_breaknews-1-0-news
2023-02-13 07:03:20 , udn , 2023年第5屆WBC世界棒球經典賽中華隊日前公布30人正選名單，包括23名中職球員和7名旅外球員，這23名中職球員當中，有6人出身2021年選秀梯隊佔最大宗，堪稱近年選秀最耀眼的一屆。

202 , https://udn.com/news/story/122629/6966868?from=udn-ch1_breaknews-1-0-news
2023-02-13 07:03:20 , udn , 經典賽／美國隊打強投弱 面對兩大勁敵衛冕難度高 , https://udn.com/news/story/122629/6966997?from=udn-ch1_breaknews-1-0-news
