2023-02-22 11:25:35 , udn , 國內蛋荒再起，農委會主委陳吉仲昨對消費者表達歉意，但面對這波史上最長的缺蛋危機，陳吉仲顯然難辭其咎。行政院院長陳建仁今受... , https://udn.com/news/story/7266/6987199?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:35 , udn , 「悲情城市」屏東4場特映會   索票免費觀賞每人限2張 , https://udn.com/news/story/7327/6987186?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:36 , udn , 以228事件為歷史背景、被稱是台灣人一生必看的電影「悲情城市」，睽違33年後，經數位修復推出4K版本，屏東縣政府於2月2... , https://udn.com/news/story/7327/6987186?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:36 , udn , 大學生開學打工  平均時薪177元與基本工資相差不多 , https://udn.com/news/story/7241/6987184?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:36 , udn , 物價直直漲，大學生開學要支付外食、交通等費用，格外吃力。根據TUN大學網調查發現，開學後有打工計畫的學生占83.5%，比... , https://udn.com/news/story/7241/6987184?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:37 , udn , 新北動保處兔年特展 即日起開展 , https://udn.com/news/story/7323/6987185?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:37 , udn , 今年是兔年，新北市政府動保處於2月22日「兔兔兔」，在新北市毛寶貝生命教育園區展覽舉辦「愛在一起陪你Happy兔gath... , https://udn.com/news/story/7323/6987185?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:37 , udn , 再與228家屬會面 蔣萬安：秉持還原真相 撫平傷痕 , https://udn.com/news/story/6656/6987196?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:38 , udn , 台北市長蔣萬安繼2月10日拜會徐光、蔣節雲兩位二二八受難家屬後，昨天再度前往台北二二八紀念館與曾英峰、廖繼斌兩位受難家屬... , https://udn.com/news/story/6656/6987196?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:38 , udn , 中澳貿易限制料將解除 澳洲棉花報關後運青島 , https://udn.com/news/story/6809/6987190?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:39 , udn , 隨著中國與澳洲外交關係解凍，過去一些受制裁商品貿易已逐漸恢復，中國買家如今正積極購買澳洲棉花，預期北京對澳洲棉花的非正式... , https://udn.com/news/story/6809/6987190?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:39 , udn , 彰化吉安水道釣魚受困獲救 海巡隊籲注意潮夕變化 , https://udn.com/news/story/7320/6987193?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:39 , udn , 彰化縣楊姓民眾昨日在鹿港鎮彰濱工業區吉安水道釣魚，卻受困沙洲，海巡署中部分署第三岸巡隊鹿港機動巡邏站獲報後前往救援，協助... , https://udn.com/news/story/7320/6987193?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:40 , udn , 花500元中大樂透3.31億！台彩總經理曝：得主是有偏財運的高帥男 , https://udn.com/news/story/7266/6985485?from=udn-catehotnews_ch2
2023-02-22 11:25:40 , udn , 必勝客「紅糟肉圓比薩」開賣！ 吃得到9顆肉圓＋香菜 , https://udn.com/news/story/7270/6984670?from=udn-catehotnews_ch2
2023-02-22 11:25:40 , udn , 「Joe」是貴！Joeman聯名超商三明治翻車 網轟：不如買便當 , https://udn.com/news/story/120915/6985541?from=udn-catehotnews_ch2
