2023-05-20 07:04:11 , udn , 由於共和黨談判代表退出進行中的債務上限談判，引發人們對能否很快達成協議的懷疑，美股收跌。然而，史坦普500指數還是創下3... , https://udn.com/news/story/6811/7177912?from=udn-ch1_breaknews-1-0-news
2023-05-20 07:07:34 , udn , 昨致災性降雨竟是這裡最狂 鄭明典：煙囪雲雨帶滯留久 , https://udn.com/news/story/7266/7177966?from=udn-ch1_breaknews-1-0-news
2023-05-20 07:07:45 , udn , 昨天鋒面影響，台灣海峽北部出現煙囪雲，西半部多個縣市出現致災性降雨。不過，中央氣象局長鄭明典在臉書表示，降在海面上的雨比... , https://udn.com/news/story/7266/7177966?from=udn-ch1_breaknews-1-0-news
2023-05-20 07:26:04 , udn , 瑪娃颱風最快今形成 專家：關注是否干擾梅雨鋒建立 , https://udn.com/news/story/7266/7177968?from=udn-ch1_breaknews-1-0-news
2023-05-20 07:26:15 , udn , 天氣風險公司總經理彭啟明在「氣象達人彭啟明」臉書粉專表示，熱帶性低氣壓生成，有機會在周末成為今年第2號颱風瑪娃距離台灣3... , https://udn.com/news/story/7266/7177968?from=udn-ch1_breaknews-1-0-news
2023-05-20 07:38:36 , udn , 端午想吃粽又怕胖？「粽子與常用配料熱量排行」快筆記 , https://udn.com/news/story/7266/7177971?from=udn-ch1_breaknews-1-0-news
2023-05-20 07:38:46 , udn , 端午節將至，逢節必吃的粽子是不可或缺的元素，每年北部粽、南部粽加上特色創意料理，口味琳瑯滿目，豐富的餡料增加層次感，不少... , https://udn.com/news/story/7266/7177971?from=udn-ch1_breaknews-1-0-news
2023-05-20 07:39:07 , udn , 美中台博弈／兩岸史學太多曲解 兩蔣日記等文件竟靠美國保存才安心 , https://udn.com/news/story/6809/7176972?from=udn-ch1_breaknews-1-0-news
2023-05-20 07:39:18 , udn , 美國史丹佛大學胡佛研究所檔案館最特別的收藏，其實不是蔣介石與蔣經國父子日記，最近訪問台灣的館長魏肯（Eric T. Wakin）透露，其實是希特勒頭骨的X光片，但兩蔣日記的確是館內浩瀚收藏當中，最受歡迎也最多人調閱的檔案。由於日記禁止複印，全盛時期，幾十位來自各方的學者聚在館內就微縮膠卷印出的副本抄寫。

許多人都在埋怨為何對兩岸中國人這麼重要的文件，卻要典藏在美國大學，讓大家越洋跋涉抄讀，這與台灣政權更迭後，蔣家擔心兩蔣日記會被湮沒有關... , https://udn.com/news/story/6809/7176972?from=udn-ch1_breaknews-1-0-news
2023-05-20 07:44:50 , udn , 約會餐廳挑選攻略！網推「這裡」氣氛佳、不怕沒話題 , https://udn.com/news/story/7270/7176675?from=udn-ch1_breaknews-1-0-news
2023-05-20 07:45:00 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「約會餐廳」話題的網路聲量表現，帶您了解網友熱議的十大約會餐廳類型與六大熱門約會餐廳菜系排行。 , https://udn.com/news/story/7270/7176675?from=udn-ch1_breaknews-1-0-news
2023-05-20 07:45:19 , udn , 這一國兒童好幸福！零用錢增幅超過通膨升幅 , https://udn.com/news/story/6811/7177848?from=udn-ch1_breaknews-1-0-news
2023-05-20 07:45:21 , udn , 高中生離奇死 呂秋遠列10點剖析：不可能已繼承5億遺產 , https://udn.com/news/story/7321/7177973?from=udn-ch1_breaknews-1-0-news
2023-05-20 07:45:30 , udn , 儘管英國一般民眾的財務因高通膨而相當吃緊，但英國孩童卻有理由笑開懷，他們的零用錢在過去一年大增，漲幅甚至超越通膨的增幅。 , https://udn.com/news/story/6811/7177848?from=udn-ch1_breaknews-1-0-news
2023-05-20 07:45:32 , udn , 台中市1名繼承5億元遺產的18歲高中生，在與擔任地政士助理的男性登記結婚後2小時，竟墜樓死亡，檢方依殺人罪命地政士助理3... , https://udn.com/news/story/7321/7177973?from=udn-ch1_breaknews-1-0-news
2023-05-20 07:46:52 , udn , 鮑爾：信用狀況收緊 降低升息壓力 , https://udn.com/news/story/6813/7177840?from=udn-ch1_breaknews-1-0-news
