2023-05-21 04:50:06 , udn , 第18屆威尼斯建築雙年展20日正式對公眾開放。本屆台灣館是首次以建築聯盟方式策展，東海、成大、淡江、逢甲、中原等逾六十位... , https://udn.com/news/story/6928/7179449?from=udn-ch1_breaknews-1-0-news
2023-05-21 05:08:07 , udn , 民眾黨揭弊大將陳琬惠的下一站 地方看好接不分區立委 , https://udn.com/news/story/123475/7179351?from=udn-ch1_breaknews-1-0-news
2023-05-21 05:08:17 , udn , 民眾黨主席柯文哲今宣示參選2024總統，各界關心民眾黨接下來如何布局不分區及區域立委人選。據了解，目前揭弊聲量相當高的不... , https://udn.com/news/story/123475/7179351?from=udn-ch1_breaknews-1-0-news
2023-05-21 05:49:59 , udn , 勤務重又沒首都加給 巡官統調基隆流失人數全國第1 , https://udn.com/news/story/7321/7179454?from=udn-ch1_breaknews-1-0-news
2023-05-21 05:50:09 , udn , 警政署19日公布今年第一次全國巡官統調名單，全國共596名巡官請調，但僅有162名如願。基隆市警局調走9人，只有1人調來... , https://udn.com/news/story/7321/7179454?from=udn-ch1_breaknews-1-0-news
2023-05-21 06:20:45 , udn , 民進黨自己放送恐嚇 卻不准他黨販賣恐懼 , https://udn.com/news/story/6656/7179421?from=udn-ch1_breaknews-1-0-news
2023-05-21 06:20:56 , udn , 販賣戰爭恐懼，販賣台灣遭受大陸的威脅，對許多人來說是一樣的，不過，民進黨政府卻有截然不同的雙重標準，一個綠營的專利，一個是他們認定的國民黨惡質行為。 , https://udn.com/news/story/6656/7179421?from=udn-ch1_breaknews-1-0-news
2023-05-21 06:21:17 , udn , 「詐彈」擾台3年258件 從六福村到總統府都不放過 , https://udn.com/news/story/7314/7179317?from=udn-ch1_breaknews-1-0-news
2023-05-21 06:21:27 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看陸生詐彈案頻繁擾台。昨起2天國中會考，台南市教育局接獲恐嚇信件，揚言要在某考場砍殺學生。無獨有偶，六福村也接獲炸彈恐嚇信，疏散千名遊客。5天內，屏東海生館、壽山植物園、台中自然科學博物館、福山植物園都收到類似信件，來源直指陸籍研究生「張海川」。 , https://udn.com/news/story/7314/7179317?from=udn-ch1_breaknews-1-0-news
2023-05-21 06:51:43 , udn , 晴朗上看36度高溫 吳德榮：周二鋒面強襲 慎防致災降雨 , https://udn.com/news/story/7266/7179472?from=udn-ch1_breaknews-1-0-news
2023-05-21 06:51:54 , udn , 今年第2號颱風瑪娃昨天下午生成，中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，中央氣象局颱風路... , https://udn.com/news/story/7266/7179472?from=udn-ch1_breaknews-1-0-news
2023-05-21 06:52:15 , udn , 星期人物／首位當過外交官的CIA局長 伯恩斯深得拜登信任 , https://udn.com/news/story/6812/7179335?from=udn-ch1_breaknews-1-0-news
2023-05-21 06:52:26 , udn , 在美國外交政策舞台上，67歲的中央情報局（CIA）局長伯恩斯（William Burns）幾十年來一直是個幾乎無役不與卻又異常低調的人物。除了川普以外，他為雷根以後的每一位民主黨與共和黨總統服務過，CIA總部最近的一場活動展示了他對外交政策制定的影響力，即使不是歷任CIA局長之冠，也肯定是名列前茅。 , https://udn.com/news/story/6812/7179335?from=udn-ch1_breaknews-1-0-news
2023-05-21 07:08:15 , udn , 警消清晨救援飛龍瀑布10人溯溪團 受困5人平安 , https://udn.com/news/story/123519/7179477?from=udn-ch1_breaknews-1-0-news
2023-05-21 07:08:25 , udn , 屏東縣霧台鄉昨發生10人溯溪團要到飛龍瀑布溪降時，突遭溪水暴漲沖走，5人自行爬上峭壁待救，另外4人遭溪水沖走失蹤，1人掛... , https://udn.com/news/story/123519/7179477?from=udn-ch1_breaknews-1-0-news
2023-05-21 07:20:01 , udn , 警察執法過當呂秋遠批「暴徒」 影片拍攝者還原真相 , https://udn.com/news/story/7320/7179478?from=udn-ch1_breaknews-1-0-news
2023-05-21 07:20:12 , udn , 朱姓健美教練昨天上午大鬧超商，員警制伏過程引發爭議，桃園市政府警察局認定員警執法過當，除依法送辦並記過處分。律師呂秋遠在... , https://udn.com/news/story/7320/7179478?from=udn-ch1_breaknews-1-0-news
2023-05-21 07:20:33 , udn , 飛龍瀑布溯溪受困5人獲救！警消發現1人吊掛瀑布死亡、續搜尋失聯4人 , https://udn.com/news/story/123519/7179477?from=udn-ch1_breaknews-1-0-news
2023-05-21 07:32:46 , udn , 連續拉肚子拉不停？可能是「這原因」惹的禍！ , https://udn.com/news/story/7266/7176751?from=udn-ch1_breaknews-1-0-news
2023-05-21 07:32:56 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一年內「慢性腹瀉原因」話題的網路聲量表現，帶您了解網友熱議的六大慢性腹瀉原因排行。 , https://udn.com/news/story/7266/7176751?from=udn-ch1_breaknews-1-0-news
2023-05-21 07:33:17 , udn , 泰山經營權之爭進入最後決戰 22日開庭成關鍵 , https://udn.com/news/story/7241/7178914?from=udn-ch1_breaknews-1-0-news
2023-05-21 07:33:28 , udn , 泰山經營權之爭進入最後決戰關鍵。泰山公司派針對市場派龍邦提出5月31日召集泰山股東臨時會提出假處分禁止股臨會召開，22日將開庭，法院宣判成為這次股東會能不能順利召開的重要關鍵。

