2023-05-02 05:47:51 , udn , 俄軍攻奪烏東巴赫姆特 白宮：5個月來傷亡10萬人 , https://udn.com/news/story/122663/7135676?from=udn-ch1_breaknews-1-0-news
2023-05-02 05:48:01 , udn , 美國白宮官員今天表示，俄羅斯在攻奪烏克蘭東部城市巴赫姆特（Bakhmut）的過去5個月戰鬥中，有超過2萬名俄國戰鬥人員喪... , https://udn.com/news/story/122663/7135676?from=udn-ch1_breaknews-1-0-news
2023-05-02 06:11:52 , udn , Fed決策會議前投資人審慎應對 美股大多收低 , https://udn.com/news/story/6811/7135694?from=udn-ch1_breaknews-1-0-news
2023-05-02 06:12:02 , udn , 陷入困境的第一共和銀行（First Republic Bank）被摩根大通（JPMorganChase）收購後，投資人在... , https://udn.com/news/story/6811/7135694?from=udn-ch1_breaknews-1-0-news
2023-05-02 06:20:53 , udn , 巴拉圭親台派勝選 一圖解析新總統與台巴關係 , https://udn.com/news/story/6656/7135636?from=udn-ch1_breaknews-1-0-news
2023-05-02 06:21:03 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看巴拉圭新總統的挑戰。 , https://udn.com/news/story/6656/7135636?from=udn-ch1_breaknews-1-0-news
2023-05-02 06:21:24 , udn , 【總編開箱】非核家園成票房毒藥 表態壓力在賴更在侯 , https://udn.com/news/story/123307/7135651?from=udn-ch1_breaknews-1-0-news
2023-05-02 06:21:34 , udn , 本報最近進行有關總統大選民調，其中最有亮點的調查，就是針對能源議題詢問選民意向，居然有高達44%的選民不支持總統蔡英文的「2025非核家園」政策，支持率僅33%，連綠營基本盤也沒全埋單。民進黨死抱著不放的神主牌如今居然成了燙手山芋，這樣的民意轉向，不僅對賴清德造成壓力，對侯友宜更是難再迴避的必考題。 , https://udn.com/news/story/123307/7135651?from=udn-ch1_breaknews-1-0-news
2023-05-02 06:21:55 , udn , Fed決策會議前投資人審慎應對 美股多收低 , https://udn.com/news/story/6811/7135694?from=udn-ch1_breaknews-1-0-news
2023-05-02 06:22:06 , udn , 陷入困境的第一共和銀行（First Republic Bank）被摩根大通（JPMorgan Chase）收購後，投資人在... , https://udn.com/news/story/6811/7135694?from=udn-ch1_breaknews-1-0-news
2023-05-02 06:31:31 , udn , 法國五一遊行衝突加劇 民眾反退改控民主危機 , https://udn.com/news/story/6809/7135686?from=udn-ch1_breaknews-1-0-news
2023-05-02 06:31:41 , udn , 今天國際勞動節，法國有近80萬人上街頭是去年7倍，抗議兩週前頒布的退制改革法。遊行氛圍緊張，多次爆發警民衝突。示威者向中... , https://udn.com/news/story/6809/7135686?from=udn-ch1_breaknews-1-0-news
2023-05-02 06:42:01 , udn , 槍手轟完電玩店投案 賭客高調直播嗆聲 藏鏡人呼之欲出 , https://udn.com/news/story/7315/7135655?from=udn-ch1_breaknews-1-0-news
2023-05-02 06:42:12 , udn , 彰化縣詹姓男子去年底持改造長槍，開車前往台中市知名電子遊藝場「菲力國王」掃射11槍，案發後帶著涉案長槍、百發子彈交到台南市白河警分局投案，案情猶如土城當鋪槍擊案翻版。幕後主嫌與該遊藝場並無地緣關係，且事前出國製造斷點，加上槍手一肩扛起所有責任，這類案件原本應該是難以調查，但案發後道上風聲都指向一名賭客，只因他在案發後竟然高調直播要遊藝場員工「離門口、窗戶遠一點。」 , https://udn.com/news/story/7315/7135655?from=udn-ch1_breaknews-1-0-news
2023-05-02 07:06:00 , udn , 美股幾無變化 未受第一共和被賣波及 觀望Fed決策 , https://udn.com/news/story/6811/7135718?from=udn-ch1_breaknews-1-0-news
2023-05-02 07:06:10 , udn , 美國股市周一收盤幾無變化，投資人消化監管機構接管第一共和銀行並賣給摩根大通的消息，也為本周聯準會（Fed）預期中的升息做... , https://udn.com/news/story/6811/7135718?from=udn-ch1_breaknews-1-0-news
2023-05-02 07:09:02 , udn , 美菲領袖聯合聲明 重申維護台海和平穩定重要性 , https://udn.com/news/story/6809/7135717?from=udn-ch1_breaknews-1-0-news
2023-05-02 07:09:12 , udn , 美國總統拜登今天與菲律賓總統小馬可仕會談，會後兩人發表聲明重申維護台海和平穩定的重要性，認為這是全球安全繁榮不可或缺的要... , https://udn.com/news/story/6809/7135717?from=udn-ch1_breaknews-1-0-news
2023-05-02 07:21:01 , udn , 「電商女王」安晨妤官司未了 長高診所合夥醫師告民事 , https://udn.com/news/story/7321/7135724?from=udn-ch1_breaknews-1-0-news
2023-05-02 07:21:11 , udn , 前「元祖少奶奶」、藝人安貞禎（安晨妤）離婚後集資成立5家長高診所，但卻和合夥醫師蔡世偉鬧翻，蔡認為名譽權遭侵害，求償20... , https://udn.com/news/story/7321/7135724?from=udn-ch1_breaknews-1-0-news
2023-05-02 07:29:53 , udn , 今白天暖如夏高溫上看36度 梅雨季首波鋒面周日到 , https://udn.com/news/story/7266/7135729?from=udn-ch1_breaknews-1-0-news
