2023-03-17 06:32:40 , udn , 基隆市長謝國樑上任將滿一百天，因基隆捷運地方分攤經費暴增三倍爭議，交通部次長胡湘麟今天將到基隆溝通。外界關心基捷是否「破... , https://udn.com/news/story/123432/7037312?from=udn-ch1_breaknews-1-0-news
2023-03-17 06:38:27 , udn , 謝國樑就職百日成績 藍指市民很有感 綠批兩大政見跳票 , https://udn.com/news/story/6656/7037343?from=udn-ch1_breaknews-1-0-news
2023-03-17 06:38:38 , udn , 基隆市長謝國樑上任將滿100天，藍營議員肯定電動車、染疫慰問金讓市民有感，滾動式調整符合公平正義，但綠營則批評這兩大政見... , https://udn.com/news/story/6656/7037343?from=udn-ch1_breaknews-1-0-news
2023-03-17 06:38:58 , udn , 獨／市民敲碗狗狗肉 謝國樑：大家最關心那一家有興趣 , https://udn.com/news/story/6656/7037342?from=udn-ch1_breaknews-1-0-news
2023-03-17 06:39:09 , udn , 基隆在地社群很多網友最想要問市長謝國樑「何時給我狗狗肉？」從選前到選後，都是基隆的發燒議題。謝國樑接受本報專訪時透露好消... , https://udn.com/news/story/6656/7037342?from=udn-ch1_breaknews-1-0-news
2023-03-17 06:39:29 , udn , 獨／基隆大秘寶？謝國樑要查 林右昌：謝市長要感謝我 , https://udn.com/news/story/123432/7037329?from=udn-ch1_breaknews-1-0-news
2023-03-17 06:39:40 , udn , 基隆換黨執政也挖出前朝「大秘寶」？市長謝國樑接手前市長林右昌留下的田徑場和城際轉運站工程，指兩處都是品質不好的現場，「是... , https://udn.com/news/story/123432/7037329?from=udn-ch1_breaknews-1-0-news
2023-03-17 06:47:37 , udn , 就職百日這項讓市民很有感 謝國樑：友善行人顯著改善 , https://udn.com/news/story/6656/7037346?from=udn-ch1_breaknews-1-0-news
2023-03-17 06:47:48 , udn , 基隆市長謝國樑就職即將滿100天，他接受本報專訪時表示，上任後很努力打造友善行人空間，從民調和車禍發生率來看，已有很顯著... , https://udn.com/news/story/6656/7037346?from=udn-ch1_breaknews-1-0-news
2023-03-17 07:14:57 , udn , 晴朗高溫上看32度 吳德榮：周末東北季風影響 這些地區短暫雨 , https://udn.com/news/story/7266/7037352?from=udn-ch1_breaknews-1-0-news
2023-03-17 07:15:07 , udn , 今晨各地無降雨；馬祖有濃霧。中央大學大氣科學系兼任副教授吳德榮今天在「三立準氣象．老大洩天機」最新專欄表示，今天各地晴時... , https://udn.com/news/story/7266/7037352?from=udn-ch1_breaknews-1-0-news
2023-03-17 07:24:00 , udn , 150萬包治好...退休警惡化淪洗腎 控假中醫行騙他喊冤 , https://udn.com/news/story/7321/7037356?from=udn-ch1_breaknews-1-0-news
2023-03-17 07:24:10 , udn , 男子蔡寬輝向陳姓病患說能治癒腎疾免洗腎，陳花8.8萬元買4瓶「藥物」，蔡又掛保證「150萬元包醫到好」，陳前後交付3萬、... , https://udn.com/news/story/7321/7037356?from=udn-ch1_breaknews-1-0-news
2023-03-17 07:29:57 , udn , 陸軍士官長、副連長行竊遭撤職 興訟討工作法院打臉 , https://udn.com/news/story/7321/7037360?from=udn-ch1_breaknews-1-0-news
2023-03-17 07:30:08 , udn , 陸軍機械化步兵第234旅戰車營營部連鄭姓士官長竊取砲兵營訓練官財物，第一連李姓中尉副連長竊取他人車牌，第234旅懲罰評議... , https://udn.com/news/story/7321/7037360?from=udn-ch1_breaknews-1-0-news
2023-03-17 07:30:28 , udn , 里拉德打出生涯年抱季後賽夢想 現實是拓荒者下季請早 , https://udn.com/news/story/122629/7037028?from=udn-ch1_breaknews-1-0-news
2023-03-17 07:30:39 , udn , 本季例行賽接近尾聲，西區7到10名的附加賽圈競爭激烈，就連暫居11、12名的爵士、鵜鶘也都還保有一線生機。六支球隊間的勝場差僅1.5場，各隊剩餘賽事約12、13場，最終的排名變化還有著瞧。至於暫居西區 , https://udn.com/news/story/122629/7037028?from=udn-ch1_breaknews-1-0-news
2023-03-17 07:30:59 , udn , 瑞士央行都撩落去 但瑞信臭名纏身恐難挽回市場信心 , https://udn.com/news/story/6811/7036404?from=udn-ch1_breaknews-1-0-news
2023-03-17 07:31:10 , udn , 歐洲知名銀行瑞士信貸因業務虧損，未獲大股東支持而股價大跌，引發全球資本市場的關注。作為全球富人最青睞的財富存放地，瑞士以其金融機構的自由裁量權和可靠性而聞名。但這只讓發生在瑞士信貸身上的醜聞、訴訟戰和財務虧損變得更加驚人且難以理解。 , https://udn.com/news/story/6811/7036404?from=udn-ch1_breaknews-1-0-news
2023-03-17 07:31:30 , udn , 春哥侃陸／國務院換血「兩尊菩薩、八個羅漢、多個山頭」 李強如何展身手？ , https://udn.com/news/story/7331/7035724?from=udn-ch1_breaknews-1-0-news
2023-03-17 07:31:41 , udn , 中共官場中人提到中南海（中共中央重要機關所在地），會說「海裡」，比如北大博士畢業，人問哪兒高就，他會眉毛一挑說「海裡」。「海裡」中的中共中央辦公廳叫南院、國務院辦公地叫北院。多年來南院北院都是「小院高牆」，如今南高北低。最新目光都投射在低漥北院，因北院行走著全新人馬，又面對著諸多經濟難題。 , https://udn.com/news/story/7331/7035724?from=udn-ch1_breaknews-1-0-news
2023-03-17 07:43:00 , udn , 獨／市民敲碗狗狗肉 謝國樑：幾個大廠牌都有意願 , https://udn.com/news/story/123432/7037342?from=udn-ch1_breaknews-1-0-news
2023-03-17 07:55:22 , udn , 最新！2023「亞洲50最佳餐廳」公布51至100名 台灣3家餐廳入列 , https://udn.com/news/story/7270/7037258?from=udn-ch1_breaknews-1-0-news
2023-03-17 07:56:45 , udn , 台企銀（2834）下跌8.57% PTT笑「配太少欠教訓」：變小氣銀 , https://udn.com/news/story/7252/7036222?from=udn-ch1_breaknews-1-0-news
