2023-05-18 07:19:51 , udn , 滿滿玫瑰花讓人融化！陳昊森獻Valentino 520浪漫禮盒 , https://udn.com/news/story/7270/7172909?from=udn-ch1_breaknews-1-0-news
2023-05-18 07:20:02 , udn , 因諧音「我愛你」，5月20日成為近年來許多人選擇表達情感的浪漫日子。范倫鐵諾（Valentino）釋出由新生代男神陳昊森... , https://udn.com/news/story/7270/7172909?from=udn-ch1_breaknews-1-0-news
2023-05-18 07:32:01 , udn , 誰是下一位200勝的名人堂級巨投？ 洋基柯爾是不二人選 , https://udn.com/news/story/122629/7172350?from=udn-ch1_breaknews-1-0-news
2023-05-18 07:32:12 , udn , 三屆塞揚巨投克蕭(Clayton Kershaw)在本季初達成了生涯200勝的里程碑，與同世代的韋蘭德(Justin Verlander)、葛蘭基(Zack Greinke)與薛則(Max Scher , https://udn.com/news/story/122629/7172350?from=udn-ch1_breaknews-1-0-news
2023-05-18 07:32:32 , udn , 湖人奇兵多到互相排擠 范德比爾特能否再起關鍵作用？ , https://udn.com/news/story/122629/7172285?from=udn-ch1_breaknews-1-0-news
2023-05-18 07:32:43 , udn , 金塊在西區冠軍戰G1就靠著約柯奇（Nikola Jokic）大三元的表現，力壓湖人戴維斯（Anthony Davis）的40分而奪勝。首戰打完，各方的焦點大多是想著湖人在這個系列賽該怎麼限制約柯奇這位 , https://udn.com/news/story/122629/7172285?from=udn-ch1_breaknews-1-0-news
2023-05-18 07:33:04 , udn , 大國才能玩？ 解放軍想擊沉美軍航艦代價是百億美元 除東風導彈外還有隱形消耗 , https://udn.com/news/story/10930/7170863?from=udn-ch1_breaknews-1-0-news
2023-05-18 07:33:15 , udn , 打沉一艘航艦要花多少錢？大陸軍事專家算出一筆帳，高達100億美元。費用不是只有上百枚飛彈價格，還要算入背後的偵察衛星、雷達系統，乃至輸運導彈起豎的發射車等配套設備。

中美海上博弈日增，解放軍海軍已突破第一島鏈，未來在台海戰爭以美軍航艦為假想敵，建立「反介入／區域拒止」戰術，但打擊美國航艦，它的代價將高得令人咋舌。報導稱，一般國家根本玩不起這種戰法，此乃大國專屬的玩具。 , https://udn.com/news/story/10930/7170863?from=udn-ch1_breaknews-1-0-news
2023-05-18 07:44:16 , udn , 9旬日籍翁訪85年前就讀台南母校 意外發現當年青澀入學照 , https://udn.com/news/story/6885/7172917?from=udn-ch1_breaknews-1-0-news
2023-05-18 07:44:27 , udn , 91歲日籍老翁新元久，本月15日參訪85年前曾就讀的台南麻豆尋常高等小學校(麻豆國中前身），校方從校史室找到當年的校訓字... , https://udn.com/news/story/6885/7172917?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:07:32 , udn , 紐時：國民黨徵召侯友宜選總統 欲走中間路線 , https://udn.com/news/story/123514/7172929?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:07:43 , udn , 紐約時報報導，中國刺激台海緊張之際，國民黨與北京往來有時成為包袱，因而徵召欲在兩岸議題走中間路線的新北市長侯友宜參選總統... , https://udn.com/news/story/123514/7172929?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:08:04 , udn ,  孤兒博士／指導教授跳槽離職 有人實驗「打掉重練」 更有台大生慘休學  , https://udn.com/news/story/6928/7172206?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:08:14 , udn , 國內各大學常有研究生面臨論文指導教授以不同理由中止指導關係，被迫成了「孤兒碩士」、「孤兒博士」。有些人因研究領域太專精、或研究成果歸屬問題喬不定，很難找到其他教授接手指導，學業無以為繼，甚至延畢。就有台大博士生因指導教授跳槽離職，研究中斷，身心受創而休學。不過，也有台大教授因不滿遭指導學生在網路上批評，主動要求中止指導，兩造進入校內協調程序。 , https://udn.com/news/story/6928/7172206?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:08:35 , udn , 台積電ADR大漲5.8%！創1月12日來最大漲幅 , https://udn.com/news/story/6811/7172927?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:08:46 , udn , 台積電ADR周三大漲5.8%，收在90.88美元，創下1月12日來最大漲幅，較台北交易溢價7.9%。費城半導體指數同日上... , https://udn.com/news/story/6811/7172927?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:09:07 , udn , 【專家之眼】侯友宜將「贏」得或「迎」來什麼？ , https://udn.com/news/story/123514/7172924?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:09:17 , udn , 侯友宜終於正式獲得國民黨徵召，代表國民黨角逐2024年總統。 , https://udn.com/news/story/123514/7172924?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:09:38 , udn , 今高溫飆36度！今起迎2波梅雨鋒面 吳德榮曝「雨勢最大」時間 , https://udn.com/news/story/7266/7172922?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:09:49 , udn , 今起至下周天氣不穩定，中央大學大氣科學系兼任副教授吳德榮今天指出，今起迎第三波及第四波梅雨鋒面，天氣悶熱下雨，下周則菲律... , https://udn.com/news/story/7266/7172922?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:15:49 , udn , 經營權之爭影響新壽業績？黃敏義：客戶認同60年老品牌 , https://udn.com/news/story/7239/7172823?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:16:00 , udn , 新光金（2888）近期陷入內鬥，新光人壽總經理黃敏義昨（17）日表示，外界關心最近董事會改選會不會影響業務單位，由於最近... , https://udn.com/news/story/7239/7172823?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:16:51 , udn , 錢都丟到大海裡了！新光金吳欣儒贊同鬆綁避險機制做國內投資 , https://udn.com/news/story/7239/7172803?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:17:02 , udn , 新光金（2888）近期陷入經營權紛爭，而針對台新金去年五度來函，要求評估合併，新光金總經理吳欣儒昨（17）日直指，台新金... , https://udn.com/news/story/7239/7172803?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:19:22 , udn , 屏中美術班畢展「不要管我啦！」走進白紙森林世界 , https://udn.com/news/story/6898/7172943?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:19:33 , udn , 「不要管我啦！」屏東高中美術班今年畢展主題，看似叛逆，透過美展傳達出他們內心世界，渴望改變、奔向自信與自由，畢展跳脫框架... , https://udn.com/news/story/6898/7172943?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:19:54 , udn , 國中教育會考20日起登場 19日下午3點可查看考場 , https://udn.com/news/story/6898/7172946?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:20:04 , udn , 國中教育會考5月20日、21日登場，高雄考區共2萬1892名考生，設置21所考場、751間試場，19日下午3點至5點開放... , https://udn.com/news/story/6898/7172946?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:20:25 , udn , 中山女高社團被爆強迫學妹拉贊7000 社團：沒人反映有困難 , https://udn.com/news/story/6885/7172942?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:20:36 , udn , 北市中山女高炫音社一名高一社員透過臉書社團「國是中山」爆料，社團學姐要求學妹一個人拉贊助7000元，不夠還要自己貼，高一... , https://udn.com/news/story/6885/7172942?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:20:57 , udn , 【專家之眼】土耳其大選的影響 , https://udn.com/news/story/6809/7172939?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:21:07 , udn , 日前土耳其舉行大選，總統厄多安與反對黨領袖得票都未過半，因而必須進行第二輪投票。如果反對派獲勝，將會有何後果？美歐各國都... , https://udn.com/news/story/6809/7172939?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:25:33 , udn , 基隆機車「騎」進騎樓大失血...她3天領5張罰單 他6天6張 , https://udn.com/news/story/7320/7172949?from=udn-ch1_breaknews-1-0-news
