2023-04-28 06:18:34 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看影響高端股價波動的8個關鍵節點 , https://udn.com/news/story/7314/7128780?from=udn-ch1_breaknews-1-0-news
2023-04-28 06:20:50 , udn , 【總編開箱】一千多個防疫日 看盡宦海浮沉的背後靈 , https://udn.com/news/story/123490/7128770?from=udn-ch1_breaknews-1-0-news
2023-04-28 06:23:52 , udn , 中監「五不」紅線 全被陳水扁踩爛了 , https://udn.com/news/story/6656/7128704?from=udn-ch1_breaknews-1-0-news
2023-04-28 06:24:02 , udn , 前總統陳水扁卸任多年，其家族成員的弊案官司仍未塵埃落定，日前陳水扁女婿趙建銘剛假釋出獄，兒子陳致中隨即官司定讞需入獄服刑，扁家有人歡樂有人愁，唯獨陳水扁本人，自2015年保外就醫以來宛若一尾活龍，始終未遵守台中監獄保外就醫時所訂定的「五不原則」。陳水扁日前甚至直接替民進黨立委初選參選人賴惠員站台，中監給陳水扁不涉及政治的「紅線」形同虛設。 , https://udn.com/news/story/6656/7128704?from=udn-ch1_breaknews-1-0-news
2023-04-28 06:54:01 , udn , 影／「又是你」 奧客沒錢付車資又叫到同輛車竟踹車 , https://udn.com/news/story/7320/7128894?from=udn-ch1_breaknews-1-0-news
2023-04-28 06:54:12 , udn , 邱姓男子沒錢付車資，今天凌晨卻兩次都叫到同一輛計程車，邱男一怒之下竟用力踹車，與計程車司機楊姓男子發生肢體衝突後逃跑，司... , https://udn.com/news/story/7320/7128894?from=udn-ch1_breaknews-1-0-news
2023-04-28 07:24:25 , udn , 今、明各地暖熱如夏 明晚鋒面報到轉雨降溫 , https://udn.com/news/story/7266/7128902?from=udn-ch1_breaknews-1-0-news
2023-04-28 07:24:35 , udn , 中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，今天(28日)至明天(29日)白天各地多雲時晴，... , https://udn.com/news/story/7266/7128902?from=udn-ch1_breaknews-1-0-news
2023-04-28 07:24:56 , udn , 白宮：致力降低依賴風險 不尋求美中脫鉤 , https://udn.com/news/story/6813/7128901?from=udn-ch1_breaknews-1-0-news
2023-04-28 07:25:06 , udn , 白宮國家安全顧問蘇利文（Jake Sullivan）27日在華府智庫布魯金斯研究所表示，拜登政府的經濟政策是結合盟友，打... , https://udn.com/news/story/6813/7128901?from=udn-ch1_breaknews-1-0-news
2023-04-28 07:27:12 , udn , 林濁水諷侯友宜兩岸論述：國際知識非跑一趟新加坡就有 , https://udn.com/news/story/6656/7128904?from=udn-ch1_breaknews-1-0-news
2023-04-28 07:27:22 , udn , 新北市長侯友宜昨天在台北市議會說，中華民國是「杯子」、台灣是「水」，都是共生體，杯破水覆，要強化自我防衛能力，也要深化民... , https://udn.com/news/story/6656/7128904?from=udn-ch1_breaknews-1-0-news
2023-04-28 07:27:43 , udn , 巴特勒又化身神之子 打出再次邁向東冠的新開局 , https://udn.com/news/story/122629/7128538?from=udn-ch1_breaknews-1-0-news
2023-04-28 07:27:53 , udn , 今年NBA季後賽首輪呈現近年難得一見的低順位球隊齊爆發盛況，熱火士官長巴特勒(Jimmy Bulter)封神般的系列賽表現，率隊締造史上第六次的老八傳奇，無疑是季後賽最被低估的超巨頭。今年季後賽最高的 , https://udn.com/news/story/122629/7128538?from=udn-ch1_breaknews-1-0-news
2023-04-28 07:28:14 , udn , 2連敗後3連勝 勇士驚醒後徹底展現衛冕實力 , https://udn.com/news/story/122629/7128254?from=udn-ch1_breaknews-1-0-news
2023-04-28 07:28:25 , udn , 勇士G5贏國王(123：116)，儘管贏得辛苦，勇士2連敗後3連勝，七戰四勝系列賽取得3：2領先。西區第六種子勇士再一勝就能以下剋上，淘汰第三種子國王，勇士證明他們為什麼是「衛冕軍」。

國王除了 , https://udn.com/news/story/122629/7128254?from=udn-ch1_breaknews-1-0-news
2023-04-28 07:28:45 , udn , 中職／打擊表現更勝經典賽學長 宋嘉翔預約中華隊一席捕手 , https://udn.com/news/story/122629/7128216?from=udn-ch1_breaknews-1-0-news
2023-04-28 07:28:56 , udn , 要說開季至今最令人驚豔的新秀球員，那當然就是富邦的劉俊豪及樂天的宋嘉翔，劉俊豪去年從自培成為正式球員，在季末升上一軍，今年進入開季名單內，從季初就有不錯的打擊表現，還曾一度登上打擊排行榜第一名，雖然近 , https://udn.com/news/story/122629/7128216?from=udn-ch1_breaknews-1-0-news
2023-04-28 07:29:16 , udn , 航空業推「贖罪券」讓碳排合理化 成氣候變遷幫凶？ , https://udn.com/news/story/6811/7127695?from=udn-ch1_breaknews-1-0-news
2023-04-28 07:29:27 , udn , 為了抵消班機大量排放的溫室氣體，不少航空公司在旅客訂位時以附加費用型式兜售「抵消碳排」費用，金額不高，但行銷文案中告訴乘客，這麼做可減少搭機對氣候造成的影響。但愈來愈多科學共識認為，絕大多數抵消碳排方案不太可能實現承諾中的任何減排水平。有些人擔心，這種靠買賣行為抵消碳排的作法事實上反而可能會讓航空業排放合理化，對氣候的影響更加嚴重。 , https://udn.com/news/story/6811/7127695?from=udn-ch1_breaknews-1-0-news
2023-04-28 07:29:48 , udn , 春哥侃陸／數據治國？中國大智庫轉趨低調 小實驗室們出鋒頭 , https://udn.com/news/story/7331/7127481?from=udn-ch1_breaknews-1-0-news
